CLIENT_ID,CLIENT_SECRET,USERNAME,PASSWORD
client,secret,admin,password
client1,secret,admin1,password
client2,secret,admin2,password
client3,secret,admin3,password
client4,secret,admin4,password
client5,secret,admin5,password
client6,secret,admin6,password
client7,secret,admin7,password
client8,secret,admin8,password
client9,secret,admin9,password
client10,secret,admin10,password
client,secret,user,password
client1,secret,user1,password
client2,secret,user2,password
client3,secret,user3,password
client4,secret,user4,password
client5,secret,user5,password
client6,secret,user6,password
client7,secret,user7,password
client8,secret,user8,password
client9,secret,user9,password
client10,secret,user10,password
